Text,Label,cue_0,boc_prompt_0,cue_1,boc_prompt_1,cue_2,boc_prompt_2,boc_output_0,boc_label_0,boc_output_1,boc_label_1,boc_output_2,boc_label_2,pred
Wow...lol||Need cash in your hands today? Go to http://t.co/Mn8psbZpFH||#workfromhome #not #wun #not #mca... http://t.co/2ST4Esm0xK,0,"['emotional words', 'rhetorical devices', 'emotional contrasts', 'common knowledge', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional words, rhetorical devices, emotional contrasts, common knowledge, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Wow...lol||Need cash in your hands today? Go to http://t.co/Mn8psbZpFH||#workfromhome #not #wun #not #mca... http://t.co/2ST4Esm0xK

        ### Response: 

        ### Label: 

        ","['context', 'language style', 'keywords', 'rhetorical devices', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: context, language style, keywords, rhetorical devices, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Wow...lol||Need cash in your hands today? Go to http://t.co/Mn8psbZpFH||#workfromhome #not #wun #not #mca... http://t.co/2ST4Esm0xK

        ### Response: 

        ### Label: 

        ","['special symbols', 'language style', 'common knowledge', 'context', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, language style, common knowledge, context, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Wow...lol||Need cash in your hands today? Go to http://t.co/Mn8psbZpFH||#workfromhome #not #wun #not #mca... http://t.co/2ST4Esm0xK

        ### Response: 

        ### Label: 

        ","not sarcastic

        ### explanation:
        the given text is promoting a work-from-home opportunity, which appears to be a genuine offer. the presence of 'lol' and 'wow' could be seen as enthusiastic but not necessarily sarcastic. there are no clear emotional words, rhetorical devices, emotional contrasts, or common knowledge that would indicate sarcasm. the keywords '#workfromhome' and the provided links suggest a legitimate advertisement rather than a sarcastic remark.",0.0,"sarcastic

        ### reasoning: 
        the tweet contains multiple cues that indicate it's sarcastic. 

        - **context**: the tweet is promoting a suspicious-looking link with a ""work from home"" scheme, which is often associated with scams.

        - **language style**: the use of ""wow...lol"" at the beginning, followed by a very promotional tone, comes across as insincere and exaggerated, which is typical of sarcastic language.

        - **keywords**: the presence of hashtags like ""#not"" (used twice) is unusual and may be ironic or sarcastic, implying the opposite of what they're saying.

        - **rhetorical devices**: the use of ""wow...lol"" could be an example of irony or sarcasm, as the tone is overly enthusiastic and fake.

        - **topic**: the topic of ""work from home"" schemes is often associated with scams, and the tweet's tone and language suggest the author is being facetious or mocking.",1.0,"sarcastic 

        ### reason: 
        this tweet is classified as sarcastic because of the presence of special symbols like '...' and 'lol', which are often used to convey irony or sarcasm. additionally, the language style is casual and informal, which is also a common feature of sarcastic tone. the tweet also contains keywords like '#not' which further reinforces the sarcasm.",1.0,1.0
At least I don't have to clean the floor,0,"['special symbols', 'surface emotion', 'emotional words', 'common knowledge', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, surface emotion, emotional words, common knowledge, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        At least I don't have to clean the floor

        ### Response: 

        ### Label: 

        ","['special symbols', 'punctuation', 'topic', 'emotional words', 'emotional contrasts']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, punctuation, topic, emotional words, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        At least I don't have to clean the floor

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'special symbols', 'surface emotion', 'keywords', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, special symbols, surface emotion, keywords, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        At least I don't have to clean the floor

        ### Response: 

        ### Label: 

        ","sarcastic 

        ### reasoning: 

        the presence of the phrase ""at least"" is a cue for sarcasm, as it often indicates a tone of irony or understatement. additionally, the sentence implies that the speaker is expected to clean the floor, but is relieved they don't have to, which is a common sentiment expressed in a sarcastic tone. the language style is also informal and conversational, which is consistent with sarcastic language. overall, these cues suggest that the input text is sarcastic.",1.0,"sarcastic 

        ### reasoning: 

         the phrase 'at least' is often used to express irony or sarcasm. the sentence implies that the speaker is unhappy with their situation and is trying to find a silver lining. additionally, the topic of cleaning the floor is a mundane and potentially annoying task, which adds to the sarcastic tone. overall, the sentence has a tone of reluctant acceptance and subtle annoyance, which is characteristic of sarcastic language.",1.0,"sarcastic

        ### cues: 
        1. rhetorical devices: understatement (the phrase ""at least"" is used to downplay the negative situation)
        2. special symbols: none
        3. surface emotion: negativity (the phrase implies that the speaker is unhappy about not having to do something)
        4. keywords: ""at least"" (indicating a sense of reluctance or resignation)
        5. topic: chores (the phrase is related to cleaning the floor)",1.0,1.0
Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony,1,"['context', 'emotional words', 'rhetorical devices', 'language style', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: context, emotional words, rhetorical devices, language style, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony

        ### Response: 

        ### Label: 

        ","['cultural background', 'emotional words', 'rhetorical devices', 'punctuation', 'common knowledge']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional words, rhetorical devices, punctuation, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony

        ### Response: 

        ### Label: 

        ","['keywords', 'cultural background', 'rhetorical devices', 'emotional words', 'context']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: keywords, cultural background, rhetorical devices, emotional words, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony

        ### Response: 

        ### Label: 

        ","sarcastic

        ### explanation: 

        the label assigned to the input text is 'sarcastic'. 

        context: the context of the tweet is about the foreword for a movie, which seems ironic given the content of the foreword.

        emotional words: the emotional word 'irony' is explicitly mentioned at the end of the tweet, indicating the sarcastic tone.

        rhetorical devices: the use of the phrase ""incidentally"" at the beginning of the tweet may be an example of irony or sarcasm.

        language style: the language used is casual and conversational, with the use of hashtags (#bhopalaprayerforrain and #irony) which is typical of twitter.

        keywords: the keywords ""justice delayed is justice denied"" and ""irony"" are strong indicators of sarcasm. the use of the hashtag #irony explicitly indicates that the author is being sarcastic.

        overall, the combination of these cues suggests that the input text is sarcastic.",1.0,"sarcastic

        ### reasoning: 

        the input text contains a few cues that suggest it's sarcastic. firstly, the use of the word ""incidentally"" at the beginning of the sentence can be seen as a rhetorical device to introduce a piece of information that is actually not incidental at all, but rather surprising or ironic. the phrase ""justice delayed is justice denied"" is a common saying that implies a sense of urgency and frustration, but in this context, it's being used to highlight the irony of subroto roy sahara, who is himself embroiled in a legal controversy, talking about justice. the use of the hashtag ""#irony"" at the end of the tweet also explicitly suggests that the author is being sarcastic. overall, the tone of the tweet is one of irony and sarcasm, suggesting that the author is being facetious in their comment about subroto roy sahara's foreword.",1.0,"sarcastic 

         ### explanation: 

         the presence of the hashtag #irony indicates that the author is being sarcastic, as irony is often used to convey a sense of contradiction or incongruity. in this case, the foreword being written by subroto roy sahara, who is associated with the bhopal disaster, is ironic because he is saying ""justice delayed is justice denied"" when he himself has been accused of delaying justice. the use of the word ""incidentally"" also has a slightly sarcastic tone, implying that it's not a coincidence that the foreword is written by him. overall, the tone of the tweet is sarcastic and critical.",1.0,1.0
@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm,1,"['language style', 'emotional contrasts', 'punctuation', 'common knowledge', 'emotional words']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, emotional contrasts, punctuation, common knowledge, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm

        ### Response: 

        ### Label: 

        ","['cultural background', 'special symbols', 'topic', 'surface emotion', 'common knowledge']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: cultural background, special symbols, topic, surface emotion, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm

        ### Response: 

        ### Label: 

        ","['emotional words', 'keywords', 'context', 'rhetorical devices', 'special symbols']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional words, keywords, context, rhetorical devices, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm

        ### Response: 

        ### Label: 

        ","the label for the given input is: sarcastic 

        the cues that led to this classification are: 

1. **language style**: the use of rhetorical question (""do we get rid of those next year?"") is a common trait of sarcastic language. 

2. **emotional contrasts**: the tone of the sentence changes from a neutral tone (""our 3 losses followed bye weeks & an fcs team."") to a sarcastic tone (""do we get rid of those next year?""), which indicates emotional contrast.

3. **punctuation**: the use of ""#"" symbol followed by ""sarcasm"" explicitly indicates that the text is sarcastic.

4. **common knowledge**: the context of the sentence, referring to sports, is not unusual, but the question about getting rid of losses is absurd, which is a common trait of sarcastic language.

5. **emotional words**: the word ""sarcasm"" explicitly indicates the emotional tone of the text.",1.0,"sarcastic 

         ### explanation: 

         this tweet is labeled as 'sarcastic' because of the following cues:

         - the tweet includes the hashtag '#sarcasm', which explicitly indicates the author's intention to be sarcastic.
         - the surface emotion of the tweet is irony, as the author is saying the opposite of what they mean. 
         - the topic of the tweet is a sports team's performance, which is a common topic for sarcastic remarks.
         - there are no special symbols or cultural background cues in this tweet that would change the interpretation.
         - the common knowledge that the author is using sarcasm to express frustration or annoyance with the team's performance.",1.0,"sarcastic

        ### explanation: 

        the tweet is sarcastic because it contains the hashtag #sarcasm, which is a clear indicator of sarcasm. additionally, the phrase ""do we get rid of those next year?"" is an exaggeration and an obvious hyperbole, which is a common rhetorical device used in sarcasm. the context of the tweet, discussing the team's losses, also adds to the sarcastic tone. the use of the phrase ""bye weeks"" and ""fcs team"" suggests that the speaker is being facetious and mocking the idea of getting rid of bye weeks and fcs teams. overall, the combination of the hashtag, hyperbole, and context make it clear that the tweet is sarcastic.",1.0,1.0
#AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4,0,"['surface emotion', 'rhetorical devices', 'special symbols', 'punctuation', 'emotional contrasts']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: surface emotion, rhetorical devices, special symbols, punctuation, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4

        ### Response: 

        ### Label: 

        ","['common knowledge', 'emotional contrasts', 'surface emotion', 'cultural background', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: common knowledge, emotional contrasts, surface emotion, cultural background, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'emotional contrasts', 'surface emotion', 'language style', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, emotional contrasts, surface emotion, language style, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?@IISuperwomanII |4

        ### Response: 

        ### Label: 

        ","i would swim in a giant pool of melted chocolate because why not? 

        ### label: sarcastic

        the cues for this classification are:

* the surface emotion is positive (the speaker seems excited and playful).
* the rhetorical device used is irony (the speaker is not being serious about swimming in melted chocolate).
* the special symbol used is an exclamation mark, which indicates excitement and playfulness.
* the punctuation used is a question mark, which adds to the playful tone.
* the emotional contrast is between the speaker's initial excitement and the absurdity of the situation, which is a hallmark of sarcasm.

overall, the combination of these cues suggests that the speaker is being sarcastic and not genuinely interested in swimming in melted chocolate.",1.0,"the label for this input is 'sarcastic'. the cues that support this label are:
         1. cultural background: the username '@iisuperwomanii' is a reference to a popular youtube personality, lily singh, known for her humorous content, which implies the tone of the question is likely to be sarcastic.
         2. topic: the topic of swimming in any liquid besides water is an absurd and unrealistic scenario, which is a common characteristic of sarcastic statements.
         3. emotional contrasts: the use of the phrase 'if you could' implies a sense of impossibility or absurdity, which contrasts with the serious tone of the question, indicating sarcasm.
         4. surface emotion: the tone of the question appears to be playful and lighthearted, but the absurdity of the topic suggests that the speaker is being facetious.

         therefore, based on these cues, the label for this input is 'sarcastic'.",1.0,"not sarcastic

        ### explanation:
        the input text does not contain any cues that suggest sarcasm. the language style is casual and conversational, and the tone is playful. the use of the phrase ""asksuperwomanlive"" and the mention of a username (@iisuperwomanii) indicate that this is a question from a social media q&a session. the question itself is lighthearted and imaginative, and there is no emotional contrast or irony that would suggest sarcasm. therefore, the correct label is ""not sarcastic"".",0.0,1.0
One of the most embarrassing losses @GoPittFootball Ever. #WTF,0,"['rhetorical devices', 'emotional contrasts', 'special symbols', 'cultural background', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, emotional contrasts, special symbols, cultural background, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        One of the most embarrassing losses @GoPittFootball Ever. #WTF

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'topic', 'keywords', 'emotional contrasts', 'surface emotion']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, topic, keywords, emotional contrasts, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        One of the most embarrassing losses @GoPittFootball Ever. #WTF

        ### Response: 

        ### Label: 

        ","['language style', 'surface emotion', 'common knowledge', 'rhetorical devices', 'emotional contrasts']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, surface emotion, common knowledge, rhetorical devices, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        One of the most embarrassing losses @GoPittFootball Ever. #WTF

        ### Response: 

        ### Label: 

        ","sarcastic

        ### explanation: 

        this text contains a few cues that indicate it is sarcastic. 

        1. rhetorical devices: the phrase ""one of the most embarrassing losses"" is an exaggeration, which is a rhetorical device often used in sarcasm. 

        2. emotional contrasts: the phrase ""one of the most embarrassing losses"" conveys a strong negative emotion, but the use of ""@gopittfootball"" and ""#wtf"" suggests a more playful tone, which is a contrast to the expected negative emotion.

        3. special symbols: the use of ""@gopittfootball"" and ""#wtf"" are special symbols that can convey a more casual and playful tone, which is often associated with sarcasm.

        4. cultural background: the use of hashtags and @mentions is a common convention on social media platforms, particularly twitter. this cultural background suggests that the text is intended to be humorous and lighthearted.

        5. language style: the language used is informal and conversational, which is consistent with the tone of sarcasm. overall, the combination of these cues suggests that the text is sarcastic.",1.0,"sarcastic 

         ### explanation: 

         - rhetorical devices: hyperbole (one of the most embarrassing losses) 
         - topic: sports (specifically, a football game)
         - keywords: embarrassing losses, #wtf (which stands for what the f**k, implying frustration and disappointment)
         - emotional contrasts: the use of hyperbole to express extreme disappointment, which contrasts with the expected tone of a neutral report of a loss
         - surface emotion: frustration, disappointment, annoyance (implied by the use of #wtf)",1.0,"sarcastic

        ### cues: 

         - language style: the use of the phrase ""one of the most embarrassing losses"" is an exaggeration and hyperbole, which is a common characteristic of sarcastic language.
         - surface emotion: the surface emotion expressed in the tweet is one of disappointment and frustration, but the tone is tongue-in-cheek.
         - common knowledge: the hashtag #wtf implies a sense of shock and disbelief, which is often used in a sarcastic tone.
         - rhetorical devices: the use of hyperbole (""one of the most embarrassing losses"") and irony (implying the opposite of what is literally said) are rhetorical devices commonly used in sarcastic language.
         - emotional contrasts: the contrast between the negative surface emotion (disappointment and frustration) and the likely positive underlying emotion (amusement or annoyance) suggests sarcasm.",1.0,1.0
@ProFootballTalk untrue - its Cutler's fault,0,"['special symbols', 'cultural background', 'emotional contrasts', 'keywords', 'surface emotion']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, cultural background, emotional contrasts, keywords, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @ProFootballTalk untrue - its Cutler's fault

        ### Response: 

        ### Label: 

        ","['topic', 'special symbols', 'language style', 'emotional contrasts', 'punctuation']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, special symbols, language style, emotional contrasts, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @ProFootballTalk untrue - its Cutler's fault

        ### Response: 

        ### Label: 

        ","['emotional words', 'topic', 'cultural background', 'rhetorical devices', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: emotional words, topic, cultural background, rhetorical devices, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        @ProFootballTalk untrue - its Cutler's fault

        ### Response: 

        ### Label: 

        ","sarcastic

        ### explanation: 

        this tweet contains several cues indicating sarcasm. the '@' symbol is used to address a specific user, and 'untrue' is a keyword that often precedes a sarcastic statement. the phrase 'its cutler's fault' is a common phrase used in a sarcastic tone to imply the opposite, that it's not cutler's fault. the tone of the tweet is also informal and playful, which is typical of sarcastic language. overall, the combination of these cues suggests that the tweet is sarcastic.",1.0,"sarcastic 

        ### explanation: 

        this tweet is classified as sarcastic because of the following cues:

        - topic: the topic of the tweet is a response to an article or statement by @profootballtalk, which implies a disagreement or criticism.
        - special symbols: the use of '@' symbol, which is a common way to address or respond to someone on twitter, indicating a sense of irony or sarcasm.
        - language style: the use of the word ""untrue"" with a hyphen, which is a more formal or old-fashioned way of writing, adds a tone of sarcasm.
        - emotional contrasts: the phrase ""its cutler's fault"" is a clear example of emotional contrast, as it implies that the opposite of what @profootballtalk said is true, which is a common trait of sarcastic language.
        - punctuation: the use of a hyphen instead of a more conventional punctuation mark like a comma or period adds to the sarcastic tone.

        overall, the combination of these cues suggests that the tweet is intended to be sarcastic.",1.0,"sarcastic

        ### explanation: 

        the input text contains some cues that suggest it's a sarcastic tweet. 

        - emotional words: 'untrue' implies a strong disagreement or annoyance, which is a common emotion expressed in sarcastic texts.
        - topic: the topic is about football, and the speaker is disagreeing with profootballtalk, which suggests that they're being facetious.
        - cultural background: the use of twitter handles and hashtags is a common cultural practice, and the tone of the tweet is informal, which is typical of social media platforms.
        - rhetorical devices: the use of 'untrue' as a response to a statement implies irony, which is a common rhetorical device used in sarcastic language.
        - language style: the language is informal, and the tone is confrontational, which is consistent with sarcastic language.

        therefore, based on these cues, i'm assigning the label 'sarcastic' to this input text.",1.0,1.0
#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony,1,"['topic', 'emotional words', 'language style', 'context', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: topic, emotional words, language style, context, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony

        ### Response: 

        ### Label: 

        ","['special symbols', 'emotional contrasts', 'punctuation', 'cultural background', 'rhetorical devices']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, emotional contrasts, punctuation, cultural background, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony

        ### Response: 

        ### Label: 

        ","['rhetorical devices', 'surface emotion', 'keywords', 'common knowledge', 'cultural background']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, surface emotion, keywords, common knowledge, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        #Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony

        ### Response: 

        ### Label: 

        ","sarcastic 

        ### reason: 

        this tweet is sarcastic because it mentions malala yousufzai receiving the nobel peace prize, which is a prestigious award, and then contrasts it with pakistan being ranked in the top 10 dangerous countries, implying that it's ironic that a country with such a high level of violence can produce a nobel laureate. the use of the hashtag #irony and the three exclamation points at the end of the sentence also suggest a tone of sarcasm. the topic is the contrast between malala's achievement and pakistan's safety record, the emotional words are ""irony"" and ""dangerous"", the language style is informal and conversational, the context is the nobel peace prize ceremony, and the cultural background is pakistani.",1.0,"sarcastic 

        ### explanation: 
        this tweet contains several cues that suggest sarcasm. the use of the word ""#irony"" at the end of the tweet implies that the author is being facetious. additionally, the exclamation marks after ""!!!"", which is an excessive use of punctuation, also suggests sarcasm. the contrast between the positive event of malala yousufzai receiving the nobel peace prize and the negative fact about pakistan being a dangerous country creates an emotional contrast, which is a common characteristic of sarcastic language. overall, the tone of the tweet is ironic and sarcastic.",1.0,"sarcastic

        ### explanation: 

         the tweet contains the keyword 'irony', which is a strong cue for sarcasm. the use of multiple hashtags (#nobelpeaceprize, #pakistan) and the exclamation marks (!!!) also suggest a tone of irony and sarcasm. the contrast between the positive event (malala receiving the nobel peace prize) and the negative fact (pakistan ranking in top 10 dangerous countries) is also a common pattern in sarcastic expressions. overall, the tone and language used in the tweet strongly suggest sarcasm.",1.0,1.0
http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm,0,"['surface emotion', 'common knowledge', 'topic', 'rhetorical devices', 'language style']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: surface emotion, common knowledge, topic, rhetorical devices, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm

        ### Response: 

        ### Label: 

        ","['special symbols', 'surface emotion', 'language style', 'context', 'common knowledge']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: special symbols, surface emotion, language style, context, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm

        ### Response: 

        ### Label: 

        ","['punctuation', 'emotional contrasts', 'keywords', 'context', 'surface emotion']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: punctuation, emotional contrasts, keywords, context, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        http://t.co/cbS3YfyKGw #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL http://t.co/Cy19OKfojm

        ### Response: 

        ### Label: 

        ","not sarcastic 

        ### cues: 

        - surface emotion: neutral
        - common knowledge: christmas sweater is a popular festive clothing item, and the use of hashtags like #not so ugly christmas sweater is a common way to categorize products on social media platforms like twitter.
        - topic: christmas sweater
        - rhetorical devices: none
        - language style: informal, promotional, using hashtags and urls, typical of a product advertisement on social media.",0.0,"not sarcastic

        ### explanation:

        this tweet is about sharing a link to an ugly christmas sweater product. the hashtag '#not so ugly christmas sweater' is used to describe the product, indicating a literal meaning. there is no irony, exaggeration, or contrast between the expected meaning and the literal meaning, which are common characteristics of sarcastic language. the tone of the tweet is informative and promotional rather than sarcastic.",0.0,"not sarcastic

        ### explanation: 

         the given input text is a tweet that appears to be promoting a product (ugly christmas sweater) with a brief description and two urls. the hashtag #not so ugly christmas sweater is literal and not ironic, indicating that the sweater is indeed not that ugly. the tone is informative and neutral, without any emotional contrast or sarcastic keywords. the context is a product promotion, and the surface emotion is neutral or slightly positive. therefore, the label assigned to this input text is 'not sarcastic'.",0.0,0.0
Testing water temperatures #excitingtimes #Not,1,"['context', 'rhetorical devices', 'special symbols', 'language style', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: context, rhetorical devices, special symbols, language style, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Testing water temperatures #excitingtimes #Not

        ### Response: 

        ### Label: 

        ","['language style', 'surface emotion', 'topic', 'cultural background', 'keywords']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: language style, surface emotion, topic, cultural background, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Testing water temperatures #excitingtimes #Not

        ### Response: 

        ### Label: 

        ","['punctuation', 'special symbols', 'emotional words', 'emotional contrasts', 'topic']","
        ### Instruction:
        You are a sarcasm classification classifier. Extract the following cues: punctuation, special symbols, emotional words, emotional contrasts, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''
        None

        ### Input:
        Testing water temperatures #excitingtimes #Not

        ### Response: 

        ### Label: 

        ","sarcastic 

         ### reasoning: 

         - context: the phrase 'exciting times' is used in a context where the activity is mundane (testing water temperatures), implying the opposite sentiment. 
         - rhetorical devices: the use of hashtags #excitingtimes, which is a hyperbole, to convey irony. 
         - special symbols: the use of '#not' at the end, which is a clear indicator of sarcasm. 
         - language style: the tone is informal, with the use of hashtags, which is typical of social media platforms where sarcasm is prevalent. 
         - topic: the topic itself is not inherently sarcastic, but the way it's presented is.",1.0,"sarcastic 

        ### explanation: 

         - the language style is informal, with the use of hashtags, which is often associated with sarcasm. 
         - the surface emotion expressed is boredom or annoyance, which contrasts with the word ""exciting"" in the text, implying irony. 
         - the topic is mundane, which is another indicator of sarcasm. 
         - the cultural background is not a significant factor in this case. 
         - the keywords ""exciting"" and ""#not"" are strong indicators of sarcasm, as they convey the opposite of what is actually meant.",1.0,"sarcastic

        ### explanation: 

        this text is classified as sarcastic because it contains the following cues:

        1. emotional contrast: the phrase ""exciting times"" has a positive connotation, but the context of ""testing water temperatures"" is mundane, creating an emotional contrast.
        2. special symbols: the use of hashtags (#excitingtimes, #not) is often used to convey irony or sarcasm.
        3. punctuation: the use of the ""#"" symbol can also be seen as a cue for sarcasm.

        these cues combined suggest that the text is intended to be sarcastic, implying that testing water temperatures is not exciting at all.",1.0,1.0
